timestamp,ip_address,event_type,endpoint,request_rate,failed_logins,session_duration,unique_endpoints,bytes_transferred,login_attempts,hour_of_day,label,severity,raw_score,reasons
2026-05-03 23:06:29,192.168.8.148,NORMAL_ACCESS,/api/data,3.55,0,130.6,4,15880.11,1,12,NORMAL,NORMAL,0.0623,
2026-05-03 23:06:29,192.168.10.181,NORMAL_ACCESS,/logout,1.63,0,121.1,4,39068.29,1,9,NORMAL,NORMAL,0.0367,
2026-05-03 23:06:29,192.168.10.67,NORMAL_ACCESS,/home,2.04,0,416.9,2,34677.61,2,18,NORMAL,NORMAL,0.0194,
2026-05-03 23:06:29,192.168.1.47,NORMAL_ACCESS,/api/data,1.81,0,495.7,5,14328.66,2,8,NORMAL,NORMAL,0.0143,
2026-05-03 23:06:29,192.168.10.113,NORMAL_ACCESS,/profile,9.23,0,58.4,4,22413.73,1,11,NORMAL,NORMAL,0.0415,
2026-05-03 23:06:30,174.189.60.47,BRUTE_FORCE,/login,22.39,30,5.4,1,404.38,25,0,SUSPICIOUS,LOW,-0.0611,High failed login count (30 failures) — possible brute-force attack | Abnormal request rate (22.4 req/min) — possible DoS/rate-based attack | Excessive login attempts (25) from single session | Activity at unusual hour (00:00) — off-hours access pattern
2026-05-03 23:06:30,205.181.238.166,BRUTE_FORCE,/login,33.01,35,7.9,2,1272.92,49,5,SUSPICIOUS,LOW,-0.0435,High failed login count (35 failures) — possible brute-force attack | Abnormal request rate (33.0 req/min) — possible DoS/rate-based attack | Excessive login attempts (49) from single session
2026-05-03 23:06:30,208.211.92.150,BRUTE_FORCE,/login,55.53,29,5.6,1,485.56,51,15,SUSPICIOUS,LOW,-0.0276,High failed login count (29 failures) — possible brute-force attack | Abnormal request rate (55.5 req/min) — possible DoS/rate-based attack | Excessive login attempts (51) from single session
2026-05-03 23:06:30,208.211.92.150,BRUTE_FORCE,/login,29.49,10,8.1,2,662.31,37,0,SUSPICIOUS,LOW,-0.0443,High failed login count (10 failures) — possible brute-force attack | Abnormal request rate (29.5 req/min) — possible DoS/rate-based attack | Excessive login attempts (37) from single session | Activity at unusual hour (00:00) — off-hours access pattern
2026-05-03 23:06:30,174.189.60.47,BRUTE_FORCE,/login,32.54,29,10.3,2,1023.89,32,3,SUSPICIOUS,LOW,-0.0437,High failed login count (29 failures) — possible brute-force attack | Abnormal request rate (32.5 req/min) — possible DoS/rate-based attack | Excessive login attempts (32) from single session | Activity at unusual hour (03:00) — off-hours access pattern
2026-05-04 04:48:35,192.168.7.243,NORMAL_ACCESS,/home,9.72,0,177.4,4,13206.94,2,18,NORMAL,NORMAL,0.0424,
2026-05-04 04:48:35,192.168.7.61,NORMAL_ACCESS,/dashboard,7.82,0,362.0,3,26814.72,2,9,NORMAL,NORMAL,0.0679,
2026-05-04 04:48:35,192.168.8.131,NORMAL_ACCESS,/dashboard,8.76,0,33.4,3,24788.84,1,14,NORMAL,NORMAL,0.0448,
2026-05-04 04:48:35,192.168.6.221,NORMAL_ACCESS,/dashboard,1.16,0,191.4,1,5441.59,1,16,NORMAL,NORMAL,0.0028,
2026-05-04 04:48:35,192.168.1.119,NORMAL_ACCESS,/logout,8.87,0,362.3,4,20475.69,1,18,NORMAL,NORMAL,0.0646,
2026-05-04 04:49:03,72.122.31.30,BRUTE_FORCE,/login,30.2,12,8.3,2,589.88,20,5,SUSPICIOUS,LOW,-0.0535,High failed login count (12 failures) — possible brute-force attack | Abnormal request rate (30.2 req/min) — possible DoS/rate-based attack | Excessive login attempts (20) from single session
2026-05-04 04:49:03,53.1.39.101,BRUTE_FORCE,/login,37.48,31,8.2,1,513.39,47,9,SUSPICIOUS,LOW,-0.0535,High failed login count (31 failures) — possible brute-force attack | Abnormal request rate (37.5 req/min) — possible DoS/rate-based attack | Excessive login attempts (47) from single session
2026-05-04 04:49:03,72.122.31.30,BRUTE_FORCE,/login,29.65,25,7.0,2,1376.9,53,13,SUSPICIOUS,LOW,-0.0185,High failed login count (25 failures) — possible brute-force attack | Abnormal request rate (29.6 req/min) — possible DoS/rate-based attack | Excessive login attempts (53) from single session
2026-05-04 04:49:04,130.13.57.116,BRUTE_FORCE,/login,46.56,9,6.2,1,260.65,33,3,SUSPICIOUS,LOW,-0.0671,High failed login count (9 failures) — possible brute-force attack | Abnormal request rate (46.6 req/min) — possible DoS/rate-based attack | Excessive login attempts (33) from single session | Activity at unusual hour (03:00) — off-hours access pattern
2026-05-04 04:49:04,53.1.39.101,BRUTE_FORCE,/login,31.03,9,7.4,2,1050.32,30,21,SUSPICIOUS,LOW,-0.0374,High failed login count (9 failures) — possible brute-force attack | Abnormal request rate (31.0 req/min) — possible DoS/rate-based attack | Excessive login attempts (30) from single session
2026-05-04 04:49:04,53.1.39.101,BRUTE_FORCE,/login,25.15,11,13.9,2,280.22,16,6,SUSPICIOUS,LOW,-0.0535,High failed login count (11 failures) — possible brute-force attack | Abnormal request rate (25.1 req/min) — possible DoS/rate-based attack | Excessive login attempts (16) from single session
2026-05-04 04:49:04,130.13.57.116,BRUTE_FORCE,/login,47.58,34,8.0,2,1386.39,47,14,SUSPICIOUS,LOW,-0.0163,High failed login count (34 failures) — possible brute-force attack | Abnormal request rate (47.6 req/min) — possible DoS/rate-based attack | Excessive login attempts (47) from single session
2026-05-04 04:49:04,130.13.57.116,BRUTE_FORCE,/login,31.69,22,8.3,1,905.89,41,21,SUSPICIOUS,LOW,-0.0518,High failed login count (22 failures) — possible brute-force attack | Abnormal request rate (31.7 req/min) — possible DoS/rate-based attack | Excessive login attempts (41) from single session
2026-05-04 04:49:04,72.122.31.30,BRUTE_FORCE,/login,46.63,25,1.4,2,1040.37,52,0,SUSPICIOUS,LOW,-0.0522,High failed login count (25 failures) — possible brute-force attack | Abnormal request rate (46.6 req/min) — possible DoS/rate-based attack | Excessive login attempts (52) from single session | Activity at unusual hour (00:00) — off-hours access pattern
2026-05-04 04:49:04,72.122.31.30,BRUTE_FORCE,/login,23.22,31,7.2,1,638.93,50,20,SUSPICIOUS,LOW,-0.0516,High failed login count (31 failures) — possible brute-force attack | Abnormal request rate (23.2 req/min) — possible DoS/rate-based attack | Excessive login attempts (50) from single session
